Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group,n_genes,organism,pathway_db,input_genes,p_adj_global
Reactome_2022,Diseases Of Mitotic Cell Cycle R-HSA-9675126,1/38,0.1735806579316256,0.2965699683253905,0,0,5.422604422604422,9.495592558231127,CDKN1C,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5046780791459972
Reactome_2022,O-glycosylation Of TSR Domain-Containing Proteins R-HSA-5173214,1/38,0.1735806579316256,0.2965699683253905,0,0,5.422604422604422,9.495592558231127,CFP,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5046780791459972
Reactome_2022,Transcriptional Regulation By VENTX R-HSA-8853884,1/39,0.1777206145684703,0.3006219350909448,0,0,5.279638490164806,9.12080010262218,CEBPB,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5071864771159128
Reactome_2022,Translesion Synthesis By Y Family DNA Polymerases Bypasses Lesions On DNA Template R-HSA-110313,1/39,0.1777206145684703,0.3006219350909448,0,0,5.279638490164806,9.12080010262218,ISG15,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5071864771159128
KEGG_2021_Human,Apelin signaling pathway,2/137,0.1499507080843318,0.3040667136154506,0,0,2.9879062736205597,5.669398730173793,CALM2;GABARAP,5,100,human,KEGG_2021_Human,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5078140512755063
KEGG_2021_Human,Fructose and mannose metabolism,1/33,0.152569319997184,0.3051386399943681,0,0,6.271464646464646,11.79120788980768,TPI1,5,100,human,KEGG_2021_Human,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5078140512755063
Reactome_2022,MTOR Signaling R-HSA-165159,1/41,0.1859390303366049,0.3129666847249785,0,0,5.015151515151516,8.43717221072756,FKBP1A,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5119277660621039
Reactome_2022,Signaling By SCF-KIT R-HSA-1433557,1/42,0.1900176905858975,0.3166961509764958,0,0,4.892584380389258,8.124812043283224,LYN,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5125522023445817
Reactome_2022,NS1 Mediated Effects On Host Pathways R-HSA-168276,1/42,0.1900176905858975,0.3166961509764958,0,0,4.892584380389258,8.124812043283224,ISG15,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5125522023445817
Reactome_2022,Toll-like Receptor Cascades R-HSA-168898,2/162,0.1943443078276657,0.3207624498126522,0,0,2.517857142857143,4.124561988604351,S100A9;CTSS,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5154697350960729
Reactome_2022,DAP12 Interactions R-HSA-2172127,1/43,0.1940761190078197,0.3207624498126522,0,0,4.775853775853776,7.830035336967146,TYROBP,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5154697350960729
Reactome_2022,TGF-beta Receptor Signaling Activates SMADs R-HSA-2173789,1/44,0.1981144149654997,0.3254053192670044,0,0,4.664552501761804,7.551493311263548,FKBP1A,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5188613067926457
Reactome_2022,Interleukin-10 Signaling R-HSA-6783783,1/45,0.2021326772791743,0.3257114231038828,0,0,4.558310376492194,7.287967841732019,TIMP1,5,100,human,Reactome_2022,"COTL1,LST1,FCER1G,SAT1,FTH1,AIF1,OAZ1,FTL,IFITM3,IFITM2,FCGR3A,SERPINA1,PSAP,CTSS,S100A11,TIMP1,CST3,ACTB,CD68,CFD",0.5188613067926457
